isin,kind
BRFIVNCTF009,closedend
BRFIXACTF002,etf
BRFIXXCTF012,etf
BRFLCRCTF004,mutual
BRFLMACTF009,closedend
BRFLRPCTF006,closedend
BRFMOFCTF010,closedend
BRFNAMCTF013,closedend
BRFNORCTF013,mutual
BRFOMOCTF004,etf
BRFPABCTF011,closedend
BRFPNGCTF005,mutual
BRFTCACTF011,mutual
BRFVPQCTF015,closedend
BRFYTOCTF008,mutual
BRFZDACTF008,closedend
BRGAMECTF002,closedend
BRGARECTF001,closedend
BRGBITCTF006,etf
BRGBTCCTF009,etf
BRGCDLCTF002,closedend
BRGCRACTF005,closedend
BRGCRICTF008,closedend
BRGDIVCTF008,etf
BRGENBCTF008,etf
BRGFDLCTF005,mutual
BRGGRCCTF002,closedend
BRGICPCTF002,etf
BRGLDICTF009,etf
BRGLDXCTF016,etf
BRGLFTCTF001,etf
BRGLPFCTF009,mutual
BRGOATCTF006,etf
BRGOLBCTF001,etf
BRGOLDCTF015,etf
BRGOLXCTF005,etf
BRGOVECTF004,etf
BRGPCACTF009,etf
BRGPUSCTF003,etf
BRGRULCTF004,mutual
BRGRWACTF003,closedend
BRGSFICTF009,closedend
BRGSRFCTF000,closedend
BRGTWRCTF003,closedend
BRGXUSCTF007,etf
BRGZITCTF005,closedend
BRHAAACTF003,mutual
BRHABTCTF001,closedend
BRHASHCTF018,etf
BRHBCRCTF001,mutual
BRHCRICTF006,closedend
BRHCTRCTF003,closedend
BRHDELCTF006,closedend
BRHDOFCTF007,closedend
BRHERTCTF009,etf
BRHFOFCTF002,closedend
BRHGAGCTF007,closedend
BRHGBLCTF005,mutual
BRHGBRCTF002,etf
BRHGBSCTF000,closedend
BRHGCRCTF000,closedend
BRHGICCTF009,mutual
BRHGLGCTF004,closedend
BRHGRECTF006,closedend
BRHGRUCTF002,mutual
BRHIGHCTF008,etf
BRHIRECTF002,mutual
BRHLOGCTF008,closedend
BRHODLCTF005,etf
BRHOFCCTF009,mutual
BRHOMSCTF001,mutual
BRHOSICTF009,mutual
BRHPDPCTF003,closedend
BRHRDFCTF000,closedend
BRHRECCTF005,closedend
BRHSAFCTF004,closedend
BRHSLGCTF009,closedend
BRHSMLCTF007,closedend
BRHTEKCTF004,etf
BRHTMXCTF000,closedend
BRHUCGCTF004,closedend
BRHYBRCTF005,etf
BRIAAGCTF008,closedend
BRIAGRCTF002,closedend
BRIB5MCTF008,etf
BRIBBPCTF005,mutual
BRIBCRCTF009,closedend
BRIBOBCTF008,etf
BRIBOVINDM18,etf
BRICNECTF002,closedend
BRICRICTF004,closedend
BRIDKACTF004,etf
BRIFRACTF004,closedend
BRIFRICTF007,closedend
BRIGTICDAM16,etf
BRIMABCTF004,etf
BRIMBBCTF002,etf
BRIMMBCTF009,closedend
BRINDECTF000,closedend
BRINFBCTF001,closedend
BRINHFCTF008,closedend
BRINLGCTF008,closedend
BRINRDCTF002,closedend
BRIRFMCTF009,etf
BRIRIFCTF007,mutual
BRIRIMCTF003,closedend
BRISENCTF016,mutual
BRISETCTF021,mutual
BRISNTCTF006,mutual
BRISTTCTF003,mutual
BRISUSCTF003,etf
BRITIPCTF002,closedend
BRITITCTF004,closedend
BRITRICTF008,closedend
BRIVVBCTF001,etf
BRIVWOCTF002,etf
BRIWMICTF003,etf
BRJASCCTF007,closedend
BRJCCJCTF002,closedend
BRJFLLCTF002,mutual
BRJGPXCTF006,closedend
BRJMBICTF005,mutual
BRJOGOCTF008,etf
BRJPPACTF005,closedend
BRJPRDCTF005,closedend
BRJSAFCTF000,closedend
